Records;h_mean;Temperature;wind_speed;tau_x
1950-01-08 14:17:30;-2.320227696350833;29.80256665274468;-0.0024976016015232;-0.0022839273986459
1950-02-07 23:26:40;-5.373661468669694;29.445292605653968;-0.0025130431512745;-0.001773657423742
1950-03-10 08:36:40;-4.085862827679925;29.08858141667342;-0.0035592325735802;-0.0017323096856653
1950-04-09 17:48:20;-2.6551136843812437;28.713709648660213;-0.0051391013583935;-0.0020394130973203
1950-05-10 02:53:20;-1.241858092442163;28.20960695295419;-0.0072443088850006;-0.0022231141440752
1950-06-09 12:03:20;3.095966187657596;27.720509603824024;-0.008912530399806;-0.00191997012228
1950-07-09 21:13:20;6.095224890038437;27.31219209838402;-0.0105197523002967;-0.0020567192927636
1950-08-09 06:23:20;10.344785072354718;26.919582311027703;-0.0119877937559842;-0.0020545228921309
1950-09-08 15:33:20;16.723268054470164;26.65972419886466;-0.0131157175529482;-0.0019012124924257
1950-10-09 00:43:20;20.06317270773912;26.52172245875868;-0.0146605092849115;-0.0024205047755779
1950-11-08 09:53:20;23.12135990090883;26.432662584002703;-0.015237133368183;-0.0021930625036258
1950-12-08 19:03:20;29.05356808379884;26.386913388750536;-0.0164417759684399;-0.0025100478783037
1951-01-08 04:13:20;33.58739957930786;26.515625291095176;-0.0158899733309513;-0.0019489739420808
1951-02-07 13:23:20;35.77743551389795;26.71268128441383;-0.0157123597505071;-0.0021611706069227
1951-03-09 22:33:20;38.83929381788801;26.890306050082167;-0.0150931854511352;-0.0019715505774126
1951-04-09 07:43:20;39.379571077765256;27.136525311233456;-0.0149261445484209;-0.0025643819106053
1951-05-09 16:53:20;43.06950269646181;27.381205510207952;-0.0137197127272896;-0.0019684365581901
1951-06-09 02:03:20;47.5220929222781;27.68329701259385;-0.0133808411843723;-0.0024053820509286
1951-07-09 11:13:20;50.36827323523397;28.0211058560744;-0.0117109318522232;-0.0019437487123373
1951-08-08 20:23:20;48.854744134020805;28.32335753782928;-0.0110918005241043;-0.0024061955837387
1951-09-08 05:33:20;50.25631944087269;28.550361917501167;-0.0099105029875802;-0.0020772431697801
1951-10-08 14:43:20;50.92201450207452;28.778357275519447;-0.0090519770833017;-0.0021907407935582
1951-11-07 23:53:20;50.0082651788444;28.974392291612705;-0.0079472149619748;-0.0020019257920591
1951-12-08 09:03:20;47.74717879514558;29.134008199188003;-0.0067781061948616;-0.0017125864646185
1952-01-07 18:13:20;45.96569403621695;29.26339132833826;-0.0062673744999606;-0.0019817049096652
1952-02-07 03:23:20;43.389866716452005;29.36295182320745;-0.0057951722608714;-0.0021126132770575
1952-03-08 12:33:20;40.61837482669191;29.434061008398626;-0.0052681110685807;-0.0020962397077711
1952-04-07 21:43:20;40.29669616672816;29.481001893610728;-0.0046507046498176;-0.0018250753063646
1952-05-08 06:53:20;38.79860127861146;29.518408859609043;-0.0047320710355528;-0.002190189857124
1952-06-07 16:03:20;34.98838224902697;29.514920527027304;-0.0046012250542244;-0.0021221111065102
1952-07-08 01:13:20;33.94112382429137;29.504407810095863;-0.0046447207788656;-0.0021816183883739
1952-08-07 10:23:20;32.96417999957585;29.482276824674944;-0.0045513393125914;-0.0020561297253574
1952-09-06 19:33:20;29.87710443111453;29.439937413353046;-0.0045341724129727;-0.0019215341673319
1952-10-07 04:43:20;28.81896933945375;29.3656298999864;-0.0055990987460771;-0.0025669694022271
1952-11-06 13:53:20;29.721753612917475;29.25539541108653;-0.0060009597414493;-0.0023207338279439
1952-12-06 23:03:20;29.304432535544464;29.17479414933289;-0.0064761681566686;-0.0023967694942025
1953-01-06 08:13:20;28.746617969793203;29.032669837758352;-0.0068633492960655;-0.0020793431292702
1953-02-05 17:23:20;29.82064813978539;28.9121652184761;-0.0074424714192676;-0.0021335073025247
1953-03-08 03:40:00;26.954322978872334;28.76838997857393;-0.0080257483056802;-0.0022176100161438
1953-04-07 11:26:40;27.651498360693665;28.55936293276174;-0.0087272958331562;-0.0020887281318441
1953-05-07 22:00:00;31.794048971566557;28.425974857012463;-0.0092780640122733;-0.0020371795516433
1953-06-07 05:46:40;32.056076607833646;28.30802498499554;-0.0099430405697018;-0.0021588918088696
1953-07-07 16:20:00;33.478641108911674;28.201785258627154;-0.0103339475438039;-0.0020882556633659
1953-08-07 00:06:40;34.753518998780315;28.11470732813001;-0.0110563922103084;-0.0024042259664365
1953-09-06 10:40:00;36.240296040420986;28.017526853297724;-0.0115253852941398;-0.0023553911175473
1953-10-06 18:26:40;38.494331849590665;28.013102358494383;-0.0109663701175098;-0.0016466969231106
1953-11-06 05:00:00;39.924745765208;28.022207434884407;-0.0111911674604599;-0.0018642478314105
1953-12-06 12:46:40;40.8368827974943;28.040440649198924;-0.0117030937383969;-0.0024295026526758
1954-01-05 23:20:00;40.90369903248745;28.035027585657755;-0.0118528011589772;-0.0022758399579327
1954-02-05 07:06:40;43.5663078626319;28.096598057396847;-0.011572463637376;-0.0022315125169676
1954-03-07 17:40:00;45.0694442535209;28.181965883176044;-0.0110070500372429;-0.0020696278974413
1954-04-07 01:26:40;45.76643342380745;28.27662513903012;-0.0107306627659028;-0.0022330345491151
1954-05-07 12:00:00;42.90985149316655;28.390324567132545;-0.0103768118578174;-0.002413104717363
1954-06-06 19:46:40;41.31432163857727;28.47278451958337;-0.009899510330401;-0.0022677177409041
1954-07-07 06:20:00;44.4991384052369;28.556343095190964;-0.0097213475651072;-0.0023352098509443
1954-08-06 14:06:40;46.765047421528;28.686410961215547;-0.0091507587640131;-0.002235588920263
