Records;h_mean;Temperature;wind_speed;tau_x
1950-01-16 04:35:00;-15.204213061204763;29.79856774370632;-0.0025932858110909;-0.002312921084507
1950-02-15 13:45:00;-11.210849875091546;29.359472906401223;-0.0033543448078041;-0.0022549337127848
1950-03-17 22:55:00;-7.217486688978328;28.96946544831492;-0.0036080928771802;-0.0013125449776658
1950-04-17 08:05:00;-3.2241235028651065;28.49969652384532;-0.0066639342113707;-0.0022347698698182
1950-05-17 17:06:40;0.769239683248113;27.939850158720848;-0.0084480250255352;-0.0016436393555263
1950-06-17 02:33:20;4.7626028693613325;27.47548346213513;-0.0099385106002311;-0.0018209800158043
1950-07-17 11:43:20;8.755966055474552;27.043701087614973;-0.0110055730391095;-0.002312921084507
1950-08-16 20:53:20;12.749329241587771;26.813744953675776;-0.0103059087639935;-0.0017659051101336
1950-09-16 06:03:20;16.74269242770099;26.78963778973173;-0.0107643608149162;-0.0024638200624419
1950-10-16 15:13:20;18.487526850125757;26.902223665467822;-0.0103649653667202;-0.0019824082257086
1950-11-16 00:23:20;20.35998228988649;27.14856218900716;-0.0108365641517856;-0.0020696730930424
1950-12-16 09:33:20;23.529300136723272;27.43986952435747;-0.0110840947962932;-0.0017702671515176
1951-01-15 18:26:40;27.3806613560777;27.66262043401049;-0.0121347064061537;-0.0020500643981175
1951-02-15 03:53:20;32.439321582339744;27.712012314722884;-0.0135385238424091;-0.0020633741874097
1951-03-17 12:46:40;37.20832586406138;27.61994965183128;-0.0151323615509132;-0.0021291052281324
1951-04-16 21:56:40;41.73195351527184;27.405023298025043;-0.0163681302555041;-0.0019799405561295
1951-05-17 07:06:40;47.86259300085107;27.144624260084072;-0.0172345671487637;-0.0021204723087214
1951-06-16 16:16:40;51.98710794521745;27.04031388636111;-0.015937015679862;-0.0016819526761301
1951-07-17 01:26:40;51.42956038052459;27.087802866884505;-0.0149021295365297;-0.0023652152090638
1951-08-16 10:36:40;49.50770093039695;27.231181350908397;-0.0132168519418593;-0.002475794342092
1951-09-15 19:46:40;47.7173762355774;27.585094937247582;-0.0108148653082394;-0.0019774620619106
1951-10-16 04:56:40;46.42667645166604;28.077298951941103;-0.0097960859323541;-0.0024086629453409
1951-11-15 14:06:40;48.18586859801545;28.550689379087355;-0.0091740139594036;-0.002609283989191
1951-12-15 23:16:40;50.85793719745704;28.93973525466465;-0.0084545060377207;-0.0024108117674164
1952-01-15 08:26:40;50.59328961094938;29.21492900684576;-0.007610514345398;-0.0020269951285504
1952-02-14 17:36:40;47.73568060360358;29.35870849598659;-0.0071109230743481;-0.0018709527556113
1952-03-16 02:46:40;45.61902658381166;29.381771286848952;-0.007402790195155;-0.0020106786930789
1952-04-15 11:56:40;46.5236201740558;29.311947456664587;-0.0083422531011357;-0.0023116625207665
1952-05-15 21:06:40;47.87028518833538;29.21895211680626;-0.0084942134249995;-0.0021343009635935
1952-06-15 06:16:40;46.59282043046736;29.16538201388868;-0.007673818154902;-0.0018088001912318
1952-07-15 15:26:40;44.54336966651803;29.115753000420373;-0.0075733618281938;-0.0024061670115402
1952-08-15 00:36:40;43.627844026214674;29.069147793061493;-0.0074454159378129;-0.0027225968096704
1952-09-14 09:46:40;41.88279947080345;29.11685470335832;-0.0057315052548463;-0.0016198650177214
1952-10-14 18:56:40;38.450126834265134;29.208691085177364;-0.0059103353668911;-0.0023170080986588
1952-11-14 04:06:40;36.72017397407859;29.247052906226276;-0.0063823946793934;-0.0026902917931359
1952-12-14 13:16:40;37.77930403696499;29.27046994671368;-0.0062313604973409;-0.0021204723087214
1953-01-13 22:26:40;37.285099019323184;29.29410500318157;-0.0064084852353773;-0.0018742011937976
1953-02-13 07:36:40;34.44009539099985;29.239929973702083;-0.0073049461814953;-0.002013296230877
1953-03-15 16:13:20;34.60321481759286;29.023414709546294;-0.009585238645476;-0.0025644579614147
1953-04-15 02:46:40;40.9164232751009;28.686691857822492;-0.0116685881616827;-0.0022479332060628
1953-05-15 10:33:20;48.21669321438759;28.376689144904933;-0.0131063564119418;-0.0021438076464813
1953-06-14 21:06:40;51.78687356190977;28.11027464927985;-0.0134306320465957;-0.0020106786930789
1953-07-15 04:53:20;53.03312442400214;27.88697468059699;-0.0130050119140604;-0.0020365510829183
1953-08-14 15:26:40;51.91192509781883;27.75779062557089;-0.0123735209510663;-0.002344930504198
1953-09-13 23:13:20;47.099045769319325;27.81101853515482;-0.0107332509913101;-0.0018296178289228
1953-10-14 09:46:40;41.18536113436124;28.024791557261164;-0.010076700143004;-0.0021742337551954
1953-11-13 17:33:20;40.5184523013176;28.27689772489056;-0.0092930432978751;-0.0017888659036994
1953-12-14 04:06:40;44.71926668570055;28.56424652237179;-0.0089245928422466;-0.0016363070255375
1954-01-13 11:53:20;46.39984880350601;28.850376031496843;-0.008912813749721;-0.0020031567259543
1954-02-12 22:26:40;44.89370318129277;29.0492396694874;-0.0085696597138048;-0.0019602530933761
1954-03-15 06:13:20;45.01575750460555;29.115390542647525;-0.0089903879542885;-0.0021937225141444
1954-04-14 16:46:40;46.13859938293594;29.10316330352149;-0.009057908270244;-0.0020315040399706
1954-05-15 00:33:20;44.98496217458757;29.039082912827396;-0.0091029619243116;-0.0021291052281324
1954-06-14 11:06:40;44.01056706345746;28.920345899397503;-0.0088361738483587;-0.0020633741874097
1954-07-14 18:53:20;44.89600776984575;28.851363121194943;-0.0078591100787675;-0.0017846761139375
1954-08-14 05:26:40;44.24921712001169;28.89823982473252;-0.0068484771667339;-0.0018654744987917
