,pred_mean,pred_std,train_version,test_y,testtimey
0,0.5067361056804657,0.47871222746483555,ds035v6sc,0.24449589585309306,1955-05-01
1,0.5746603965759277,0.4664676754981627,ds035v6sc,0.2071508317041252,1955-06-01
2,0.5847054123878479,0.47184391154607846,ds035v6sc,0.17512301169552202,1955-07-01
3,0.6797091603279114,0.4604052237129406,ds035v6sc,0.10424103203570212,1955-08-01
4,0.6329165697097778,0.47318939172904634,ds035v6sc,-0.00425980619369189,1955-09-01
5,0.5304649710655213,0.47913933551809845,ds035v6sc,-0.11903445161554772,1955-10-01
6,0.3795276448130608,0.4908657644645018,ds035v6sc,-0.2590398322947228,1955-11-01
7,0.22213887572288513,0.5027472208983568,ds035v6sc,-0.4639490415502152,1955-12-01
8,0.03893865831196308,0.5095226618730271,ds035v6sc,-0.7383934764154851,1956-01-01
9,-0.19497643858194352,0.5362535000821982,ds035v6sc,-1.0354763695223543,1956-02-01
10,-0.4728572845458984,0.5542429912343306,ds035v6sc,-1.3397276037657375,1956-03-01
11,-0.7493624567985535,0.5593755052715912,ds035v6sc,-1.6164588185613884,1956-04-01
12,-1.0194340467453002,0.5481814528480822,ds035v6sc,-1.8443736662995531,1956-05-01
13,-1.2927763223648072,0.5309719870416297,ds035v6sc,-1.9545168450456338,1956-06-01
14,-1.514979863166809,0.5193801852589242,ds035v6sc,-1.8885028973314453,1956-07-01
15,-1.663098359107971,0.5073754639032075,ds035v6sc,-1.6260956852922124,1956-08-01
16,-1.6653717756271362,0.5077559094176547,ds035v6sc,-1.2216581483734654,1956-09-01
17,-1.6073326349258423,0.5042099787477363,ds035v6sc,-0.7585338593940397,1956-10-01
18,-1.4161192417144775,0.5185241790748746,ds035v6sc,-0.32947263764320195,1956-11-01
19,-1.1578605890274047,0.5401817222300351,ds035v6sc,0.01936524333785646,1956-12-01
20,-0.8742542147636414,0.5691027556771961,ds035v6sc,0.258673256892763,1957-01-01
21,-0.4957964599132538,0.602761898981717,ds035v6sc,0.4092288850679644,1957-02-01
22,-0.19724621325731279,0.6233641664560439,ds035v6sc,0.4946487913358363,1957-03-01
23,0.14803260415792466,0.5710675332700569,ds035v6sc,0.5585033547864064,1957-04-01
24,0.439500230550766,0.496613349070871,ds035v6sc,0.6416175831348111,1957-05-01
25,0.7557072520256043,0.40812404237253996,ds035v6sc,0.7873253893891139,1957-06-01
26,1.0533631443977356,0.3383966628598224,ds035v6sc,0.9984810112119386,1957-07-01
27,1.2286872148513794,0.32012907320684886,ds035v6sc,1.218202560450982,1957-08-01
28,1.4020762681961059,0.29940307463873056,ds035v6sc,1.3765641339892598,1957-09-01
29,1.5175726175308228,0.2628458143888026,ds035v6sc,1.4254200031444717,1957-10-01
30,1.5060065031051635,0.26494163980072266,ds035v6sc,1.356270500158156,1957-11-01
31,1.3902290344238282,0.2968772222100001,ds035v6sc,1.1699385436608647,1957-12-01
32,1.2267032384872436,0.32349859140376885,ds035v6sc,0.8936596901345872,1958-01-01
33,1.0180378556251526,0.36582383250665057,ds035v6sc,0.5924022023818717,1958-02-01
34,0.7987836956977844,0.42263257180559843,ds035v6sc,0.28797578268981755,1958-03-01
35,0.7112217664718627,0.45056366982006163,ds035v6sc,0.00673473902037595,1958-04-01
36,0.6794479727745056,0.46512747244699804,ds035v6sc,-0.2325331296022692,1958-05-01
37,0.6648561358451843,0.4858143701717876,ds035v6sc,-0.3660507904077619,1958-06-01
38,0.7630518078804016,0.46657111226323184,ds035v6sc,-0.4009643886785692,1958-07-01
39,0.6235633671283722,0.526819092740058,ds035v6sc,-0.3765533260613303,1958-08-01
40,0.19422608315944673,0.4980291786450486,ds035v6sc,-0.35351889504170114,1958-09-01
41,-0.16568977385759354,0.49193171186623247,ds035v6sc,-0.3536345693043425,1958-10-01
42,-0.4833627462387085,0.47316557224964917,ds035v6sc,-0.37686575163581065,1958-11-01
43,-0.7257560729980469,0.4648954275806386,ds035v6sc,-0.4237533404460881,1958-12-01
44,-0.9593688011169433,0.47762921005810455,ds035v6sc,-0.496842342339298,1959-01-01
45,-1.2074435234069825,0.5023147469981143,ds035v6sc,-0.5969828894643013,1959-02-01
46,-1.4285528659820557,0.5207774432336868,ds035v6sc,-0.7360722985413007,1959-03-01
47,-1.6255014657974243,0.5129873541091896,ds035v6sc,-0.9080827263176624,1959-04-01
48,-1.8214859247207642,0.5014952864443138,ds035v6sc,-1.1083920973797965,1959-05-01
49,-1.9434924602508545,0.49741886301254673,ds035v6sc,-1.2640659072877585,1959-06-01
50,-2.0293213605880736,0.48341828926628183,ds035v6sc,-1.3023988938880169,1959-07-01
51,-1.9635737895965577,0.49027268154485476,ds035v6sc,-1.2240949020552907,1959-08-01
52,-1.78198561668396,0.5003413463853882,ds035v6sc,-1.0858908294880285,1959-09-01
53,-1.5094698905944823,0.5198689522310208,ds035v6sc,-0.911196068538968,1959-10-01
54,-1.1493823766708373,0.5485858676402812,ds035v6sc,-0.6859086126429,1959-11-01
55,-0.7851266205310822,0.5882284609950552,ds035v6sc,-0.4138959880813704,1959-12-01
56,-0.36595180481672285,0.6170807949090851,ds035v6sc,-0.1682218577387443,1960-01-01
57,-0.05068240910768509,0.6200148965030102,ds035v6sc,0.02172258608804967,1960-02-01
58,0.09236126691102982,0.6081708540377373,ds035v6sc,0.14970337179145451,1960-03-01
59,0.24601291120052338,0.5581163541631337,ds035v6sc,0.22536653275458346,1960-04-01
60,0.4269853174686432,0.5115487276734226,ds035v6sc,0.2531061838751114,1960-05-01
